SOURCE_ID,ORIGINAL_SOURCE_PATH,ORIGINAL_RELATIVE_PATH,DESTINATION_RELATIVE_PATH,FILENAME,FILE_TYPE,FILE_SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,SOURCE_CATEGORY,SOURCE_AUTHORITY,AUTHORITY_STATUS,ORIGINAL_OR_GENERATED,CURRENT_OR_HISTORICAL,SENSITIVE_DATA_STATUS,DUPLICATE_GROUP_ID,CANONICAL_FILE_INDICATOR,MIGRATION_TIMESTAMP_UTC,NOTES
CIT-SRC-00358,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\DCI524C.PT1,SourceData_11-18-2024/DCI524C.PT1,archive/legacy_cfic_rates/SourceData_11-18-2024/DCI524C.PT1,DCI524C.PT1,.PT1,2896107,89cfb60e27d0a8c437b2b796b72c44a1fcddc989e60a50d6b6e0d1efc5f585b5,89cfb60e27d0a8c437b2b796b72c44a1fcddc989e60a50d6b6e0d1efc5f585b5,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00359,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\DCI534.PT1,SourceData_11-18-2024/DCI534.PT1,archive/legacy_cfic_rates/SourceData_11-18-2024/DCI534.PT1,DCI534.PT1,.PT1,500,e2237b9ffde9af7fb464b6c259b2abd955aff230d33bf4730d07b87848a0a924,e2237b9ffde9af7fb464b6c259b2abd955aff230d33bf4730d07b87848a0a924,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,DUP-0005,Y,2026-07-12T14:57:14Z,Identical PT1 content; both archived with distinct paths (legacy SourceData structure)
CIT-SRC-00360,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\DCI544.PT1,SourceData_11-18-2024/DCI544.PT1,archive/legacy_cfic_rates/SourceData_11-18-2024/DCI544.PT1,DCI544.PT1,.PT1,8452,8a05b931c01b5be94259a9a2e12b9de011b44cb841c87074eb1706f5ce6bba02,8a05b931c01b5be94259a9a2e12b9de011b44cb841c87074eb1706f5ce6bba02,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00361,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\DCI554.PT1,SourceData_11-18-2024/DCI554.PT1,archive/legacy_cfic_rates/SourceData_11-18-2024/DCI554.PT1,DCI554.PT1,.PT1,3294908,f3538a79a03cf9b5c59b36fd41731d00e773d931058986d8de1c931698db78d5,f3538a79a03cf9b5c59b36fd41731d00e773d931058986d8de1c931698db78d5,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00362,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\DCI564.PT1,SourceData_11-18-2024/DCI564.PT1,archive/legacy_cfic_rates/SourceData_11-18-2024/DCI564.PT1,DCI564.PT1,.PT1,250719,0975aeb93380409eecf5adb2117394a5c51c79ef1feb03249cd469942752d2a1,0975aeb93380409eecf5adb2117394a5c51c79ef1feb03249cd469942752d2a1,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00363,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\DCI585D.PT1,SourceData_11-18-2024/DCI585D.PT1,archive/legacy_cfic_rates/SourceData_11-18-2024/DCI585D.PT1,DCI585D.PT1,.PT1,175799,f427d4df5a5796c9cc7a8817287037e6f8e911f83c268386a62011fc6458a703,f427d4df5a5796c9cc7a8817287037e6f8e911f83c268386a62011fc6458a703,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00364,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\DCI800.PT1,SourceData_11-18-2024/DCI800.PT1,archive/legacy_cfic_rates/SourceData_11-18-2024/DCI800.PT1,DCI800.PT1,.PT1,500,e2237b9ffde9af7fb464b6c259b2abd955aff230d33bf4730d07b87848a0a924,e2237b9ffde9af7fb464b6c259b2abd955aff230d33bf4730d07b87848a0a924,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,DUP-0005,Y,2026-07-12T14:57:14Z,Identical PT1 content; both archived with distinct paths (legacy SourceData structure)
CIT-SRC-00365,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\DRPMASEY.DAT,SourceData_11-18-2024/DRPMASEY.DAT,archive/legacy_cfic_rates/SourceData_11-18-2024/DRPMASEY.DAT,DRPMASEY.DAT,.DAT,942,88847179e4684481f089ed151aeeb874e860e7564d928d5d1c147d97a5a547ba,88847179e4684481f089ed151aeeb874e860e7564d928d5d1c147d97a5a547ba,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00366,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\Office.cpy,SourceData_11-18-2024/Office.cpy,archive/legacy_cfic_rates/SourceData_11-18-2024/Office.cpy,Office.cpy,.cpy,642,027663ea092ab5e4203e77ac5465c4608c54a2ef23e1552f29204d7ec98aaa0b,027663ea092ab5e4203e77ac5465c4608c54a2ef23e1552f29204d7ec98aaa0b,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00367,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\Office.txt,SourceData_11-18-2024/Office.txt,archive/legacy_cfic_rates/SourceData_11-18-2024/Office.txt,Office.txt,.txt,1410,3a3bb1976a515bf1bae87e5d6cf856bc7106b2cce0c3fdd3c89cab5080db1826,3a3bb1976a515bf1bae87e5d6cf856bc7106b2cce0c3fdd3c89cab5080db1826,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00368,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\Plan.cpy,SourceData_11-18-2024/Plan.cpy,archive/legacy_cfic_rates/SourceData_11-18-2024/Plan.cpy,Plan.cpy,.cpy,6391,87d9eedbcd6a60d58df7482495e77e79aa4dfcb58977f8e61bf180cd6953c109,87d9eedbcd6a60d58df7482495e77e79aa4dfcb58977f8e61bf180cd6953c109,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00369,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\Plan.txt,SourceData_11-18-2024/Plan.txt,archive/legacy_cfic_rates/SourceData_11-18-2024/Plan.txt,Plan.txt,.txt,4670,92699e266bda12c14526d804319040a6d33e80ea4e9972db7ddae856be3c5fab,92699e266bda12c14526d804319040a6d33e80ea4e9972db7ddae856be3c5fab,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00370,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\PRINT.pdf,SourceData_11-18-2024/PRINT.pdf,archive/legacy_cfic_rates/SourceData_11-18-2024/PRINT.pdf,PRINT.pdf,.pdf,10717,d654eaeade759068eaec1cadb7c23888a27d6939aa5f5c9d6c89cec1f464a5d7,d654eaeade759068eaec1cadb7c23888a27d6939aa5f5c9d6c89cec1f464a5d7,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
CIT-SRC-00371,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\SourceData_11-18-2024\PRINT20231229.Zip,SourceData_11-18-2024/PRINT20231229.Zip,archive/legacy_cfic_rates/SourceData_11-18-2024/PRINT20231229.Zip,PRINT20231229.Zip,.Zip,684412,40a9abe7420bb2f07490ea4c44961d0c8031b10036a1c2aeaed47cd0c761b9cd,40a9abe7420bb2f07490ea4c44961d0c8031b10036a1c2aeaed47cd0c761b9cd,Y,Archive files,client,HISTORICAL_PENDING_REVIEW,original,historical,N,,N,2026-07-12T14:57:14Z,Approved COPY_TO_ARCHIVE per Stage 2B decisions
