Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Setup,Annuity Information Setup,A88F69,Annuity plan A88F69 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88N45,Annuity plan A88N45 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88N49,Annuity plan A88N49 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88N55,Annuity plan A88N55 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88N59,Annuity plan A88N59 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88N65,Annuity plan A88N65 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A88N69,Annuity plan A88N69 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89A42,Annuity plan A89A42 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89A45,Annuity plan A89A45 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89A49,Annuity plan A89A49 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89A52,Annuity plan A89A52 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89A55,Annuity plan A89A55 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89A59,Annuity plan A89A59 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89A62,Annuity plan A89A62 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89A65,Annuity plan A89A65 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89A69,Annuity plan A89A69 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89F45,Annuity plan A89F45 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89N45,Annuity plan A89N45 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89N49,Annuity plan A89N49 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89N55,Annuity plan A89N55 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89N59,Annuity plan A89N59 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89N65,Annuity plan A89N65 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A89N69,Annuity plan A89N69 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A99916,Annuity plan A99916 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,AMINOR,Annuity plan AMINOR does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,ASCWLC,Annuity plan ASCWLC does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,ASCWO1,Annuity plan ASCWO1 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,ASCWO2,Annuity plan ASCWO2 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,ASCWO3,Annuity plan ASCWO3 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,ASCWO4,Annuity plan ASCWO4 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,ASCWOL,Annuity plan ASCWOL does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A84723,Annuity plan A84723 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A84919,Annuity plan A84919 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A84925,Annuity plan A84925 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A84929,Annuity plan A84929 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A88440,Annuity plan A88440 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A88449,Annuity plan A88449 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A88450,Annuity plan A88450 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A88459,Annuity plan A88459 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A88460,Annuity plan A88460 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A88469,Annuity plan A88469 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,A99916,Annuity plan A99916 does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Interest Setup,ASCWOL,Annuity plan ASCWOL does not have a Annuity Interest Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
