Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Setup,Annuity Information Setup,A23N69,Annuity plan A23N69 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25A42,Annuity plan A25A42 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25A45,Annuity plan A25A45 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25A49,Annuity plan A25A49 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25A52,Annuity plan A25A52 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25A55,Annuity plan A25A55 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25A59,Annuity plan A25A59 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25A62,Annuity plan A25A62 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25A65,Annuity plan A25A65 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25A69,Annuity plan A25A69 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25F45,Annuity plan A25F45 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25F55,Annuity plan A25F55 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25F65,Annuity plan A25F65 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25N45,Annuity plan A25N45 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25N55,Annuity plan A25N55 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A25N65,Annuity plan A25N65 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A80917,Annuity plan A80917 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A80918,Annuity plan A80918 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A80919,Annuity plan A80919 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A80920,Annuity plan A80920 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A80921,Annuity plan A80921 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A80922,Annuity plan A80922 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A80923,Annuity plan A80923 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A80924,Annuity plan A80924 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A80925,Annuity plan A80925 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A81923,Annuity plan A81923 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A81927,Annuity plan A81927 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A81928,Annuity plan A81928 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84717,Annuity plan A84717 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84718,Annuity plan A84718 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84719,Annuity plan A84719 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84720,Annuity plan A84720 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84721,Annuity plan A84721 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84722,Annuity plan A84722 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84723,Annuity plan A84723 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84724,Annuity plan A84724 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84725,Annuity plan A84725 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84917,Annuity plan A84917 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84918,Annuity plan A84918 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84919,Annuity plan A84919 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84920,Annuity plan A84920 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84921,Annuity plan A84921 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84922,Annuity plan A84922 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84923,Annuity plan A84923 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84924,Annuity plan A84924 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84925,Annuity plan A84925 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84926,Annuity plan A84926 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84927,Annuity plan A84927 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84928,Annuity plan A84928 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A84929,Annuity plan A84929 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85910,Annuity plan A85910 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85917,Annuity plan A85917 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85920,Annuity plan A85920 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85923,Annuity plan A85923 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85929,Annuity plan A85929 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85930,Annuity plan A85930 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85933,Annuity plan A85933 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85937,Annuity plan A85937 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85939,Annuity plan A85939 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85943,Annuity plan A85943 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85947,Annuity plan A85947 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A85949,Annuity plan A85949 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87045,Annuity plan A87045 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87049,Annuity plan A87049 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87055,Annuity plan A87055 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
