Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Values,Cash Values,719SDT / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7619DT / A1 / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7619DT / A1 / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7619PU / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7619PU / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7647SP / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7686S3 / F / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7686S3 / M / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7687J3 / F / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7687J3 / M / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7690DT / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7690DT / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,778FTR / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7SDT10 / F / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,7SDT10 / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,901ADB / F / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,901ADB / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9065WP / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9065WP / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9085WP / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
