PLAN,ISSCNTRY,CNTRYTXT,ISSUEST,STATETXT,MLOANINT,MLOANINTX
9L01WP,0000,ALL (OTHER),00,ALL (OTHER),,
9L05WP,0000,ALL (OTHER),00,ALL (OTHER),,
9L16PF,0000,ALL (OTHER),00,ALL (OTHER),,
9OLDWP,0000,ALL (OTHER),00,ALL (OTHER),,
9POADB,0000,ALL (OTHER),00,ALL (OTHER),,
9SLADB,0000,ALL (OTHER),00,ALL (OTHER),,
9STRWP,0000,ALL (OTHER),00,ALL (OTHER),,
9WP646,0000,ALL (OTHER),00,ALL (OTHER),,
9WPL10,0000,ALL (OTHER),00,ALL (OTHER),,
A60MIR,0000,ALL (OTHER),00,ALL (OTHER),,
A96DAR,0000,ALL (OTHER),00,ALL (OTHER),,
