distribution_code,row_count,distinct_policy_count,total_amount,transaction_codes_observed,relationship_codes_observed
,385228,4562,47225582.98,11|110|1110|1111|112|12|126|13|150|2|20|21|210|220|254|256|310|37|38|39|411|412|413|43|44|45|451|46|47|49|50|514|515|516|517|530|560|561|562|580|61|610|62|620|630|641|710|715|90|91|92|94|95|96,PE
0,5085,1370,5594154.19,1020|113|115|12|13|20|38|515|630,
6,3676,648,1472974.14,12|13|560|561|562|90|92,PE
7,2944,1059,14578444.6,110|12|13|150|20|21|37|38|411|520|560|562|564|565|90|92,PE
4,2125,1405,18624559.13,12|38|90|94,PE
