PLAN,DESCR,DEFICIENCY,PRODUCT,PAYYRS,PAYAGE,indeterminate_heuristic,dg020_applies,a2_candidate_if_cso_yes
982JPO,JUVENILE FUTURE PURCHASE OPTION,N,12,00,00,N,Y,Y
A60MIR,MONTHLY INCOME RIDER,N,03,00,65,N,Y,Y
960GIO,960 GUARANTEE INSURABILITY OPTION,N,03,00,40,N,Y,Y
A96DAR,DEPOSIT ANNUITY RIDER,N,03,00,65,N,Y,Y
1666AI,ADDITIONAL INSUREDS 666 WL,N,03,100,00,N,N,Y
165PUA,PAID UP ADDS - LIFE PAID UP AT AGE 65,N,03,00,65,N,N,Y
185PUA,PAID UP ADDS - LIFE PU AT AGE 85-88,N,03,00,88,N,N,Y
196065,LIFE PAID UP AT AGE 65,N,03,00,65,N,N,Y
196085,LIFE PAID UP AT AGE 85-88,N,03,00,85,N,N,Y
1960OL,ORDINARY WHOLE LIFE,N,03,100,00,N,N,Y
1OLPUA,PAID UP ADDS - ORDINARY WHOLE LIFE,N,03,100,00,N,N,Y
1960PO,PREFERRED ORDINARY WHOLE LIFE,N,03,00,103,N,N,Y
1POPUA,PAID UP ADDS - PREF ORDINARY WHOLE LIFE,N,03,100,00,N,N,Y
2961ME,MODIFIED ENDOWMENT AT 65,N,03,00,65,N,N,Y
261PUA,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,N,03,00,65,N,N,Y
1970JB,JUVENILE EST BUILD PU AT 85 LIFE,N,07,00,85,N,N,Y
1970PA,PAID UP ADDS - JUV EST BUILD PU AT 85,N,07,00,85,N,N,Y
280END,ENDOWMENT AT AGE 65,N,03,00,65,N,N,Y
280PUA,PAID UP ADDS - ENDOWMENT AT AGE 65,N,03,00,65,N,N,Y
1991PL,PENSION WHOLE LIFE,N,03,00,103,N,N,Y
9DIS20,"HOME OFFICE DISCOUNT 20% 1YR, 21.5% 2-10",N,CF,100,00,N,Y,Y
9DIS24,HOME OFFICE DISCOUNT - 24.75%,N,CF,100,00,N,Y,Y
9DS24B,HOME OFFICE DISCOUNT - 24.75%,N,CF,100,00,N,Y,Y
9DS24C,HOME OFFICE DISCOUNT - 24.75%,N,CF,100,00,N,Y,Y
9DIS25,"HOME OFFICE DISCOUNT - 25%-10YR, 10%-99",N,CF,116,00,N,Y,Y
9DIS29,HOME OFFICE DISCOUNT 29% - MODERULE 37,N,CF,10,00,N,Y,Y
9DIS70,HOME OFFICE DISCOUNT - 70/13%,N,CF,100,00,N,Y,Y
9DIS80,"HOME OFFICE DISCOUNT 80% 1 YR, 10% 2-10",N,CF,100,00,N,Y,Y
9DIS90,"HOME OFFICE DISCOUNT 90% 1 YR, 10%, 5%",N,CF,100,00,N,Y,Y
5L0110,TEN YEAR LEVEL TERM TO AGE 95,N,08,00,95,N,N,Y
5L01MA,TEN YEAR LEVEL TERM TO AGE 95,N,08,00,95,N,N,Y
5L0510,TEN YEAR TERM TO AGE 85,N,08,00,85,N,N,Y
5L075Y,FIVE YEAR TERM TO AGE 85,N,08,00,85,N,N,Y
9ADB10,L10 ACCIDENTAL DEATH BENEFIT,N,12,00,65,N,Y,Y
5CDT10,L10 CHILD TERM RIDER,N,03,00,25,N,N,Y
9GPO10,L10 GPO OLD,N,12,08,00,N,Y,Y
9JPO10,L10 JUVENILE PURCHASE OPTION - OLD,N,12,00,40,N,Y,Y
1L1095,L10 - LPU95     POST 1997 LIFE,N,12,00,95,N,N,Y
1L10SR,L10 - LPU95   POST 1997  SENIOR LIFE,N,13,00,95,N,N,Y
1L10OD,L10 - LPU95       PRE 1997,N,12,00,95,N,N,Y
1L10PR,L10 - LPU95       PRE 1997,N,12,00,95,N,N,Y
7SDT10,L10 SPOUSE DECREASING TERM,N,03,00,65,N,N,Y
910SWP,L10 SPOUSE WP,N,12,00,64,N,Y,Y
1L10SO,L10 - LPU95  SR.     PRE 1997,N,13,00,95,N,N,Y
