POLICY_NUMBER,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,LOAN_BALANCE,MLOANPRIN_STAGING,MLOANBAL_STAGING,BA_REVIEW_FLAG
9010420983,6704.08,-6704.08,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010422033,1307.37,-1307.37,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010422417,10.83,0.23,11.06,11.06,11.06,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010422722,7452.46,392.23,7844.69,7844.69,7844.69,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010425720,8451.13,-8451.13,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010425941,1942.88,97.09,2039.97,2039.97,2039.97,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010425942,897.8,-897.8,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010425944,2316.97,-2316.97,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010426657,11428.93,-11428.93,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010426747,13600.04,-13600.04,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010427456,622.79,-622.79,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010428771,1246.85,-1246.85,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010429710,1481.04,-1481.04,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010429711,1671.79,82.56,1754.35,1754.35,1754.35,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010431738,2888.88,-2888.88,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010434092,3506.31,184.54,3690.85,3690.85,3690.85,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010434421,20.77,-20.77,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010435244,630.12,-630.12,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010435671,12697.49,668.29,13365.78,13365.78,13365.78,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010435672,1928.43,101.5,2029.93,2029.93,2029.93,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010435673,154.92,-154.92,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010436599,4152.13,-4152.13,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010436782,341.2,-341.2,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010437232,14115.26,742.91,14858.17,14858.17,14858.17,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010438325,1986.98,-1986.98,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010438556,1160.93,61.1,1222.03,1222.03,1222.03,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010438821,4127.72,-4127.72,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010438938,989.4,-989.4,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010438942,858.46,-858.46,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010439128,390.96,20.58,411.54,411.54,411.54,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010439156,5948.92,74.87,6023.79,6023.79,6023.79,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010439277,942.41,49.6,992.01,992.01,992.01,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010439435,215.02,11.22,226.24,226.24,226.24,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010439999,2990.42,150.76,3141.18,3141.18,3141.18,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010440000,1654.74,87.09,1741.83,1741.83,1741.83,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010442332,6449.9,-6449.9,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010442552,2895.97,-2895.97,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010442906,64.59,-64.59,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010443109,729.84,-729.84,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010443287,6310.2,196.31,6506.51,6506.51,6506.51,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010444283,0.62,-0.62,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010445275,47.88,-47.88,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010446852,5334.61,280.77,5615.38,5615.38,5615.38,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010448025,3684.45,193.92,3878.37,3878.37,3878.37,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010448375,213.53,-213.53,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010449155,1313.24,-1313.24,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010449417,8503.03,447.53,8950.56,8950.56,8950.56,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010449498,85.64,4.46,90.1,90.10,90.10,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010451453,46.41,-46.41,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010452169,3136.74,-3136.74,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010452304,214.96,-214.96,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010452305,194.23,-194.23,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010454002,1171.25,-1171.25,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010455341,12.98,-12.98,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010456114,5853.79,-5853.79,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010456751,534.89,-534.89,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010458520,1012.49,-1012.49,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010458525,65.07,-65.07,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010458526,527.92,27.08,555.0,555.00,555.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010458663,5071.98,-5071.98,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010459723,473.41,-473.41,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010460886,2904.75,-2904.75,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010461210,709.29,36.81,746.1,746.10,746.10,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010462630,8099.17,-8099.17,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010462631,3.12,-3.12,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010462839,242.47,-242.47,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010463190,5171.8,-5171.8,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010463420,2760.93,-2760.93,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010463537,47.78,-47.78,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010464869,3740.31,-3740.31,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010464870,3382.9,-3382.9,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010465331,3250.39,171.07,3421.46,3421.46,3421.46,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
