SOURCE_POLICY,MPOLICY,PLAN_CODE,QLA_PLAN,MLOANINTX,MLOANINTX_SOURCE,MLOANINTX_RAW_QUIKPLAN,NOTE
9010908669,010908669C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010909669,010909669C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010913059,010913059C,658 CEN I,1658C1,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010913799,010913799C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010917231,010917231C,658 CEN I,1658C1,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010917599,010917599C,658 CEN I,1658C1,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010917600,010917600C,658 CEN I,1658C1,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010920186,010920186C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010924513,010924513C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010924660,010924660C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010927421,010927421C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010927552,010927552C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010928491,010928491C,658 CEN SD,1658CS,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010928495,010928495C,658 CEN SD,1658CS,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010928497,010928497C,658 CEN SD,1658CS,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010928498,010928498C,658 CEN SD,1658CS,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010928507,010928507C,658 CEN SD,1658CS,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010928775,010928775C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010933488,010933488C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010937087,010937087C,658 CEN I,1658C1,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010937735,010937735C,658 CEN I,1658C1,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010938121,010938121C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9010938321,010938321C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
