POLICY_NUMBER,ACCRUAL_DATE,LAST_CHG_DATE,LAST_CHG_TIME,LOAN_BALANCE,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,ACCRUED_INT_AMT,INTEREST_RATE,INTEREST_TYPE,INT_METHOD,STATUS_CODE,TYPE_CODE,LAST_REPAY_DATE,CAPITALIZED_DATE,INT_START_DATE,_LATEST_BALANCE_CLASS
9010380627   ,    20251125,     20251125,       181253,      157.65,          149.77,          7.88,            .00,        .0500,F            ,D         ,A          ,R        ,       20241120,        20251125,      20251125,ACTIVE_CANDIDATE
9010381745   ,    20200121,     20200121,       135150,     7199.96,         7557.69,       -357.73,            .00,        .0500,F            ,D         ,H          ,         ,              0,               0,      20200121,ACTIVE_CANDIDATE
9010382426   ,    20260227,     20260302,       135520,     2722.38,         2847.20,       -124.82,            .00,        .0500,F            ,D         ,H          ,R        ,       20250224,               0,      20260227,ACTIVE_CANDIDATE
9010382520   ,    20110114,     20110127,       133945,         .00,           89.31,        -89.31,            .00,        .0500,F            ,D         ,H          ,R        ,       20110114,               0,      20110114,ZERO_BALANCE_HOLD
9010382931   ,    20220210,     20220314,        84625,         .00,          339.10,       -339.10,            .00,        .0500,F            ,D         ,H          ,         ,       20220210,               0,      20220210,ZERO_BALANCE_HOLD
9010385636   ,    20180507,     20180508,       133460,         .00,        13865.03,     -13865.03,            .00,        .0500,F            ,D         ,H          ,         ,       20180507,               0,      20180507,ZERO_BALANCE_HOLD
9010391004   ,    20260520,     20260521,       113310,     4621.16,         4851.41,       -230.25,            .00,        .0500,F            ,D         ,H          ,R        ,       20250528,               0,      20260520,ACTIVE_CANDIDATE
9010391228   ,    20240319,     20240319,       112924,         .00,         2188.14,      -2188.14,            .00,        .0500,F            ,D         ,H          ,         ,       20240319,               0,      20240319,ZERO_BALANCE_HOLD
9010391359   ,    20211119,     20211217,       113830,         .00,         1859.45,      -1859.45,            .00,        .0500,F            ,D         ,H          ,         ,       20211119,               0,      20211119,ZERO_BALANCE_HOLD
9010391422   ,    20191120,     20191120,       100706,         .00,         1538.84,      -1538.84,            .00,        .0500,F            ,D         ,H          ,         ,       20191120,               0,      20191120,ZERO_BALANCE_HOLD
9010391876   ,    20090901,     20091030,       212540,     1544.26,         1604.65,        -60.39,            .00,        .0500,F            ,D         ,H          ,         ,              0,               0,      20090901,ACTIVE_CANDIDATE
9010391878   ,    20100701,     20100602,       111627,         .00,         1515.31,      -1515.31,            .00,        .0500,F            ,D         ,H          ,         ,       20100701,               0,      20100701,ZERO_BALANCE_HOLD
