PLAN,AGE,CNTL,CV0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
109PMS,63,02,518.52,544.36,569.31,593.17,615.73,636.86,656.67,675.34,693.31,711.25,M,SM,00,0000,00,19000101
109PMS,63,03,730.04,751.16,776.90,808.85,851.03,910.41,1000.00,,,,M,SM,00,0000,00,19000101
109PMS,64,00,.00,.59,30.72,60.76,90.73,120.58,150.22,179.45,208.10,236.06,M,SM,00,0000,00,19000101
109PMS,64,01,263.34,290.06,316.41,342.64,368.98,395.55,422.43,449.64,477.46,504.74,M,SM,00,0000,00,19000101
109PMS,64,02,531.31,556.98,581.52,604.73,626.47,646.84,666.05,684.53,702.98,722.31,M,SM,00,0000,00,19000101
109PMS,64,03,744.04,770.51,803.38,846.76,907.84,1000.00,,,,,M,SM,00,0000,00,19000101
109PMS,65,00,.00,2.15,33.08,63.93,94.66,125.17,155.26,184.76,213.55,241.63,M,SM,00,0000,00,19000101
109PMS,65,01,269.13,296.26,323.27,350.39,377.74,405.41,433.42,462.06,490.14,517.50,M,SM,00,0000,00,19000101
109PMS,65,02,543.93,569.18,593.08,615.46,636.43,656.21,675.23,694.22,714.12,736.50,M,SM,00,0000,00,19000101
109PMS,65,03,763.75,797.59,842.25,905.13,1000.00,,,,,,M,SM,00,0000,00,19000101
109PMS,66,00,.00,3.82,35.60,67.27,98.70,129.70,160.09,189.75,218.69,247.02,M,SM,00,0000,00,19000101
109PMS,66,01,274.97,302.79,330.73,358.91,387.42,416.27,445.79,474.71,502.90,530.13,M,SM,00,0000,00,19000101
109PMS,66,02,556.15,580.77,603.82,625.43,645.80,665.40,684.97,705.47,728.52,756.60,M,SM,00,0000,00,19000101
109PMS,66,03,791.46,837.47,902.26,1000.00,,,,,,,M,SM,00,0000,00,19000101
109PMS,67,00,.00,5.62,38.27,70.69,102.65,133.98,164.56,194.40,223.61,252.43,M,SM,00,0000,00,19000101
109PMS,67,01,281.12,309.93,338.98,368.37,398.13,428.56,458.38,487.45,515.52,542.35,M,SM,00,0000,00,19000101
109PMS,67,02,567.73,591.51,613.79,634.79,655.00,675.18,696.32,720.08,749.03,784.98,M,SM,00,0000,00,19000101
109PMS,67,03,832.42,899.22,1000.00,,,,,,,,M,SM,00,0000,00,19000101
109PMS,68,00,.00,7.52,40.96,73.95,106.29,137.84,168.63,198.78,228.52,258.13,M,SM,00,0000,00,19000101
109PMS,68,01,287.86,317.84,348.17,378.88,410.28,441.06,471.05,500.02,527.71,553.91,M,SM,00,0000,00,19000101
109PMS,68,02,578.44,601.44,623.11,643.97,664.79,686.60,711.13,741.01,778.10,827.06,M,SM,00,0000,00,19000101
109PMS,68,03,896.00,1000.00,,,,,,,,,M,SM,00,0000,00,19000101
109PMS,69,00,.00,9.36,43.43,76.83,109.43,141.23,172.37,203.10,233.67,264.38,M,SM,00,0000,00,19000101
109PMS,69,01,295.36,326.69,358.41,390.85,422.64,453.62,483.55,512.15,539.21,564.55,M,SM,00,0000,00,19000101
109PMS,69,02,588.30,610.69,632.23,653.74,676.27,701.61,732.47,770.79,821.36,892.57,M,SM,00,0000,00,19000101
109PMS,69,03,1000.00,,,,,,,,,,M,SM,00,0000,00,19000101
109PMS,70,00,.00,10.95,45.49,79.19,112.08,144.27,176.04,207.66,239.41,271.43,M,SM,00,0000,00,19000101
109PMS,70,01,303.83,336.62,370.17,403.04,435.07,466.01,495.58,523.56,549.76,574.32,M,SM,00,0000,00,19000101
109PMS,70,02,597.47,619.75,641.99,665.28,691.48,723.39,763.01,815.30,888.92,1000.00,M,SM,00,0000,00,19000101
109R2G,00,00,.00,.00,.00,1.00,5.00,9.00,14.00,19.00,23.00,28.00,0,00,00,0000,00,19000101
109R2G,00,01,34.00,39.00,45.00,51.00,57.00,64.00,70.00,77.00,84.00,91.00,0,00,00,0000,00,19000101
109R2G,00,02,94.00,97.00,101.00,104.00,108.00,112.00,116.00,121.00,125.00,130.00,0,00,00,0000,00,19000101
109R2G,00,03,135.00,140.00,145.00,151.00,156.00,162.00,168.00,175.00,181.00,187.00,0,00,00,0000,00,19000101
109R2G,00,04,194.00,201.00,208.00,216.00,224.00,232.00,240.00,249.00,258.00,268.00,0,00,00,0000,00,19000101
109R2G,00,05,277.00,288.00,298.00,309.00,321.00,332.00,344.00,357.00,370.00,383.00,0,00,00,0000,00,19000101
109R2G,00,06,396.00,410.00,424.00,438.00,452.00,467.00,482.00,497.00,512.00,528.00,0,00,00,0000,00,19000101
109R2G,00,07,544.00,560.00,576.00,592.00,608.00,624.00,640.00,656.00,672.00,688.00,0,00,00,0000,00,19000101
109R2G,00,08,704.00,720.00,735.00,750.00,765.00,779.00,793.00,806.00,818.00,829.00,0,00,00,0000,00,19000101
109R2G,00,09,839.00,849.00,859.00,869.00,880.00,893.00,908.00,929.00,957.00,1000.00,0,00,00,0000,00,19000101
109R2G,01,00,.00,.00,.00,2.00,6.00,10.00,15.00,20.00,25.00,30.00,0,00,00,0000,00,19000101
109R2G,01,01,36.00,41.00,47.00,53.00,60.00,66.00,73.00,80.00,87.00,94.00,0,00,00,0000,00,19000101
109R2G,01,02,97.00,101.00,104.00,108.00,112.00,116.00,121.00,125.00,130.00,135.00,0,00,00,0000,00,19000101
109R2G,01,03,140.00,145.00,151.00,156.00,162.00,168.00,175.00,181.00,187.00,194.00,0,00,00,0000,00,19000101
109R2G,01,04,201.00,208.00,216.00,224.00,232.00,240.00,249.00,258.00,268.00,277.00,0,00,00,0000,00,19000101
109R2G,01,05,288.00,298.00,309.00,321.00,332.00,344.00,357.00,370.00,383.00,396.00,0,00,00,0000,00,19000101
109R2G,01,06,410.00,424.00,438.00,452.00,467.00,482.00,497.00,512.00,528.00,544.00,0,00,00,0000,00,19000101
109R2G,01,07,560.00,576.00,592.00,608.00,624.00,640.00,656.00,672.00,688.00,704.00,0,00,00,0000,00,19000101
109R2G,01,08,720.00,735.00,750.00,765.00,779.00,793.00,806.00,818.00,829.00,839.00,0,00,00,0000,00,19000101
109R2G,01,09,849.00,859.00,869.00,880.00,893.00,908.00,929.00,957.00,1000.00,,0,00,00,0000,00,19000101
109R2G,02,00,.00,.00,.00,2.00,7.00,11.00,16.00,21.00,26.00,32.00,0,00,00,0000,00,19000101
109R2G,02,01,37.00,43.00,49.00,56.00,62.00,69.00,75.00,82.00,90.00,97.00,0,00,00,0000,00,19000101
109R2G,02,02,101.00,104.00,108.00,112.00,116.00,121.00,125.00,130.00,135.00,140.00,0,00,00,0000,00,19000101
109R2G,02,03,145.00,151.00,156.00,162.00,168.00,175.00,181.00,187.00,194.00,201.00,0,00,00,0000,00,19000101
109R2G,02,04,208.00,216.00,224.00,232.00,240.00,249.00,258.00,268.00,277.00,288.00,0,00,00,0000,00,19000101
109R2G,02,05,298.00,309.00,321.00,332.00,344.00,357.00,370.00,383.00,396.00,410.00,0,00,00,0000,00,19000101
109R2G,02,06,424.00,438.00,452.00,467.00,482.00,497.00,512.00,528.00,544.00,560.00,0,00,00,0000,00,19000101
109R2G,02,07,576.00,592.00,608.00,624.00,640.00,656.00,672.00,688.00,704.00,720.00,0,00,00,0000,00,19000101
109R2G,02,08,735.00,750.00,765.00,779.00,793.00,806.00,818.00,829.00,839.00,849.00,0,00,00,0000,00,19000101
109R2G,02,09,859.00,869.00,880.00,893.00,908.00,929.00,957.00,1000.00,,,0,00,00,0000,00,19000101
109R2G,03,00,.00,.00,.00,3.00,7.00,12.00,17.00,22.00,28.00,33.00,0,00,00,0000,00,19000101
109R2G,03,01,39.00,45.00,52.00,58.00,65.00,71.00,78.00,85.00,93.00,101.00,0,00,00,0000,00,19000101
109R2G,03,02,104.00,108.00,112.00,116.00,121.00,125.00,130.00,135.00,140.00,145.00,0,00,00,0000,00,19000101
109R2G,03,03,151.00,156.00,162.00,168.00,175.00,181.00,187.00,194.00,201.00,208.00,0,00,00,0000,00,19000101
109R2G,03,04,216.00,224.00,232.00,240.00,249.00,258.00,268.00,277.00,288.00,298.00,0,00,00,0000,00,19000101
109R2G,03,05,309.00,321.00,332.00,344.00,357.00,370.00,383.00,396.00,410.00,424.00,0,00,00,0000,00,19000101
109R2G,03,06,438.00,452.00,467.00,482.00,497.00,512.00,528.00,544.00,560.00,576.00,0,00,00,0000,00,19000101
109R2G,03,07,592.00,608.00,624.00,640.00,656.00,672.00,688.00,704.00,720.00,735.00,0,00,00,0000,00,19000101
109R2G,03,08,750.00,765.00,779.00,793.00,806.00,818.00,829.00,839.00,849.00,859.00,0,00,00,0000,00,19000101
109R2G,03,09,869.00,880.00,893.00,908.00,929.00,957.00,1000.00,,,,0,00,00,0000,00,19000101
109R2G,04,00,.00,.00,.00,3.00,8.00,13.00,18.00,24.00,29.00,35.00,0,00,00,0000,00,19000101
109R2G,04,01,41.00,47.00,54.00,60.00,67.00,74.00,81.00,88.00,96.00,104.00,0,00,00,0000,00,19000101
109R2G,04,02,108.00,112.00,116.00,121.00,125.00,130.00,135.00,140.00,145.00,151.00,0,00,00,0000,00,19000101
109R2G,04,03,156.00,162.00,168.00,175.00,181.00,187.00,194.00,201.00,208.00,216.00,0,00,00,0000,00,19000101
109R2G,04,04,224.00,232.00,240.00,249.00,258.00,268.00,277.00,288.00,298.00,309.00,0,00,00,0000,00,19000101
109R2G,04,05,321.00,332.00,344.00,357.00,370.00,383.00,396.00,410.00,424.00,438.00,0,00,00,0000,00,19000101
109R2G,04,06,452.00,467.00,482.00,497.00,512.00,528.00,544.00,560.00,576.00,592.00,0,00,00,0000,00,19000101
109R2G,04,07,608.00,624.00,640.00,656.00,672.00,688.00,704.00,720.00,735.00,750.00,0,00,00,0000,00,19000101
109R2G,04,08,765.00,779.00,793.00,806.00,818.00,829.00,839.00,849.00,859.00,869.00,0,00,00,0000,00,19000101
109R2G,04,09,880.00,893.00,908.00,929.00,957.00,1000.00,,,,,0,00,00,0000,00,19000101
109R2G,05,00,.00,.00,.00,4.00,9.00,14.00,19.00,25.00,31.00,37.00,0,00,00,0000,00,19000101
109R2G,05,01,43.00,49.00,56.00,62.00,69.00,76.00,84.00,92.00,100.00,108.00,0,00,00,0000,00,19000101
109R2G,05,02,112.00,116.00,121.00,125.00,130.00,135.00,140.00,145.00,151.00,156.00,0,00,00,0000,00,19000101
109R2G,05,03,162.00,168.00,175.00,181.00,187.00,194.00,201.00,208.00,216.00,224.00,0,00,00,0000,00,19000101
109R2G,05,04,232.00,240.00,249.00,258.00,268.00,277.00,288.00,298.00,309.00,321.00,0,00,00,0000,00,19000101
109R2G,05,05,332.00,344.00,357.00,370.00,383.00,396.00,410.00,424.00,438.00,452.00,0,00,00,0000,00,19000101
109R2G,05,06,467.00,482.00,497.00,512.00,528.00,544.00,560.00,576.00,592.00,608.00,0,00,00,0000,00,19000101
109R2G,05,07,624.00,640.00,656.00,672.00,688.00,704.00,720.00,735.00,750.00,765.00,0,00,00,0000,00,19000101
109R2G,05,08,779.00,793.00,806.00,818.00,829.00,839.00,849.00,859.00,869.00,880.00,0,00,00,0000,00,19000101
109R2G,05,09,893.00,908.00,929.00,957.00,1000.00,,,,,,0,00,00,0000,00,19000101
109R2G,06,00,.00,.00,.00,4.00,9.00,15.00,20.00,26.00,32.00,38.00,0,00,00,0000,00,19000101
109R2G,06,01,45.00,51.00,58.00,65.00,72.00,79.00,87.00,95.00,103.00,112.00,0,00,00,0000,00,19000101
109R2G,06,02,116.00,121.00,125.00,130.00,135.00,140.00,145.00,151.00,156.00,162.00,0,00,00,0000,00,19000101
109R2G,06,03,168.00,175.00,181.00,187.00,194.00,201.00,208.00,216.00,224.00,232.00,0,00,00,0000,00,19000101
109R2G,06,04,240.00,249.00,258.00,268.00,277.00,288.00,298.00,309.00,321.00,332.00,0,00,00,0000,00,19000101
109R2G,06,05,344.00,357.00,370.00,383.00,396.00,410.00,424.00,438.00,452.00,467.00,0,00,00,0000,00,19000101
109R2G,06,06,482.00,497.00,512.00,528.00,544.00,560.00,576.00,592.00,608.00,624.00,0,00,00,0000,00,19000101
109R2G,06,07,640.00,656.00,672.00,688.00,704.00,720.00,735.00,750.00,765.00,779.00,0,00,00,0000,00,19000101
109R2G,06,08,793.00,806.00,818.00,829.00,839.00,849.00,859.00,869.00,880.00,893.00,0,00,00,0000,00,19000101
109R2G,06,09,908.00,929.00,957.00,1000.00,,,,,,,0,00,00,0000,00,19000101
109R2G,07,00,.00,.00,.00,5.00,10.00,16.00,22.00,28.00,34.00,40.00,0,00,00,0000,00,19000101
109R2G,07,01,46.00,53.00,60.00,67.00,74.00,82.00,90.00,98.00,107.00,116.00,0,00,00,0000,00,19000101
109R2G,07,02,121.00,125.00,130.00,135.00,140.00,145.00,151.00,156.00,162.00,168.00,0,00,00,0000,00,19000101
109R2G,07,03,175.00,181.00,187.00,194.00,201.00,208.00,216.00,224.00,232.00,240.00,0,00,00,0000,00,19000101
109R2G,07,04,249.00,258.00,268.00,277.00,288.00,298.00,309.00,321.00,332.00,344.00,0,00,00,0000,00,19000101
109R2G,07,05,357.00,370.00,383.00,396.00,410.00,424.00,438.00,452.00,467.00,482.00,0,00,00,0000,00,19000101
109R2G,07,06,497.00,512.00,528.00,544.00,560.00,576.00,592.00,608.00,624.00,640.00,0,00,00,0000,00,19000101
109R2G,07,07,656.00,672.00,688.00,704.00,720.00,735.00,750.00,765.00,779.00,793.00,0,00,00,0000,00,19000101
109R2G,07,08,806.00,818.00,829.00,839.00,849.00,859.00,869.00,880.00,893.00,908.00,0,00,00,0000,00,19000101
109R2G,07,09,929.00,957.00,1000.00,,,,,,,,0,00,00,0000,00,19000101
109R2G,08,00,.00,.00,.00,5.00,11.00,17.00,23.00,29.00,35.00,41.00,0,00,00,0000,00,19000101
109R2G,08,01,48.00,55.00,62.00,69.00,77.00,85.00,93.00,102.00,111.00,121.00,0,00,00,0000,00,19000101
109R2G,08,02,125.00,130.00,135.00,140.00,145.00,151.00,156.00,162.00,168.00,175.00,0,00,00,0000,00,19000101
109R2G,08,03,181.00,187.00,194.00,201.00,208.00,216.00,224.00,232.00,240.00,249.00,0,00,00,0000,00,19000101
109R2G,08,04,258.00,268.00,277.00,288.00,298.00,309.00,321.00,332.00,344.00,357.00,0,00,00,0000,00,19000101
109R2G,08,05,370.00,383.00,396.00,410.00,424.00,438.00,452.00,467.00,482.00,497.00,0,00,00,0000,00,19000101
109R2G,08,06,512.00,528.00,544.00,560.00,576.00,592.00,608.00,624.00,640.00,656.00,0,00,00,0000,00,19000101
109R2G,08,07,672.00,688.00,704.00,720.00,735.00,750.00,765.00,779.00,793.00,806.00,0,00,00,0000,00,19000101
109R2G,08,08,818.00,829.00,839.00,849.00,859.00,869.00,880.00,893.00,908.00,929.00,0,00,00,0000,00,19000101
109R2G,08,09,957.00,1000.00,,,,,,,,,0,00,00,0000,00,19000101
109R2G,09,00,.00,.00,.00,6.00,12.00,18.00,24.00,30.00,36.00,43.00,0,00,00,0000,00,19000101
109R2G,09,01,50.00,57.00,64.00,72.00,80.00,88.00,97.00,106.00,115.00,125.00,0,00,00,0000,00,19000101
109R2G,09,02,130.00,135.00,140.00,145.00,151.00,156.00,162.00,168.00,175.00,181.00,0,00,00,0000,00,19000101
109R2G,09,03,187.00,194.00,201.00,208.00,216.00,224.00,232.00,240.00,249.00,258.00,0,00,00,0000,00,19000101
109R2G,09,04,268.00,277.00,288.00,298.00,309.00,321.00,332.00,344.00,357.00,370.00,0,00,00,0000,00,19000101
109R2G,09,05,383.00,396.00,410.00,424.00,438.00,452.00,467.00,482.00,497.00,512.00,0,00,00,0000,00,19000101
109R2G,09,06,528.00,544.00,560.00,576.00,592.00,608.00,624.00,640.00,656.00,672.00,0,00,00,0000,00,19000101
109R2G,09,07,688.00,704.00,720.00,735.00,750.00,765.00,779.00,793.00,806.00,818.00,0,00,00,0000,00,19000101
109R2G,09,08,829.00,839.00,849.00,859.00,869.00,880.00,893.00,908.00,929.00,957.00,0,00,00,0000,00,19000101
109R2G,09,09,1000.00,,,,,,,,,,0,00,00,0000,00,19000101
109R2G,10,00,.00,.00,1.00,7.00,13.00,19.00,25.00,31.00,38.00,44.00,0,00,00,0000,00,19000101
109R2G,10,01,51.00,59.00,66.00,74.00,82.00,91.00,100.00,110.00,119.00,130.00,0,00,00,0000,00,19000101
109R2G,10,02,135.00,140.00,145.00,151.00,156.00,162.00,168.00,175.00,181.00,187.00,0,00,00,0000,00,19000101
109R2G,10,03,194.00,201.00,208.00,216.00,224.00,232.00,240.00,249.00,258.00,268.00,0,00,00,0000,00,19000101
109R2G,10,04,277.00,288.00,298.00,309.00,321.00,332.00,344.00,357.00,370.00,383.00,0,00,00,0000,00,19000101
109R2G,10,05,396.00,410.00,424.00,438.00,452.00,467.00,482.00,497.00,512.00,528.00,0,00,00,0000,00,19000101
109R2G,10,06,544.00,560.00,576.00,592.00,608.00,624.00,640.00,656.00,672.00,688.00,0,00,00,0000,00,19000101
109R2G,10,07,704.00,720.00,735.00,750.00,765.00,779.00,793.00,806.00,818.00,829.00,0,00,00,0000,00,19000101
109R2G,10,08,839.00,849.00,859.00,869.00,880.00,893.00,908.00,929.00,957.00,1000.00,0,00,00,0000,00,19000101
109R2G,11,00,.00,.00,1.00,7.00,13.00,19.00,26.00,32.00,39.00,46.00,0,00,00,0000,00,19000101
109R2G,11,01,53.00,61.00,69.00,77.00,85.00,94.00,104.00,114.00,124.00,135.00,0,00,00,0000,00,19000101
109R2G,11,02,140.00,145.00,151.00,156.00,162.00,168.00,175.00,181.00,187.00,194.00,0,00,00,0000,00,19000101
109R2G,11,03,201.00,208.00,216.00,224.00,232.00,240.00,249.00,258.00,268.00,277.00,0,00,00,0000,00,19000101
109R2G,11,04,288.00,298.00,309.00,321.00,332.00,344.00,357.00,370.00,383.00,396.00,0,00,00,0000,00,19000101
109R2G,11,05,410.00,424.00,438.00,452.00,467.00,482.00,497.00,512.00,528.00,544.00,0,00,00,0000,00,19000101
109R2G,11,06,560.00,576.00,592.00,608.00,624.00,640.00,656.00,672.00,688.00,704.00,0,00,00,0000,00,19000101
109R2G,11,07,720.00,735.00,750.00,765.00,779.00,793.00,806.00,818.00,829.00,839.00,0,00,00,0000,00,19000101
109R2G,11,08,849.00,859.00,869.00,880.00,893.00,908.00,929.00,957.00,1000.00,,0,00,00,0000,00,19000101
109R2G,12,00,.00,.00,2.00,8.00,14.00,20.00,26.00,33.00,40.00,47.00,0,00,00,0000,00,19000101
109R2G,12,01,55.00,63.00,71.00,79.00,88.00,98.00,108.00,118.00,129.00,140.00,0,00,00,0000,00,19000101
109R2G,12,02,145.00,151.00,156.00,162.00,168.00,175.00,181.00,187.00,194.00,201.00,0,00,00,0000,00,19000101
109R2G,12,03,208.00,216.00,224.00,232.00,240.00,249.00,258.00,268.00,277.00,288.00,0,00,00,0000,00,19000101
109R2G,12,04,298.00,309.00,321.00,332.00,344.00,357.00,370.00,383.00,396.00,410.00,0,00,00,0000,00,19000101
109R2G,12,05,424.00,438.00,452.00,467.00,482.00,497.00,512.00,528.00,544.00,560.00,0,00,00,0000,00,19000101
109R2G,12,06,576.00,592.00,608.00,624.00,640.00,656.00,672.00,688.00,704.00,720.00,0,00,00,0000,00,19000101
109R2G,12,07,735.00,750.00,765.00,779.00,793.00,806.00,818.00,829.00,839.00,849.00,0,00,00,0000,00,19000101
109R2G,12,08,859.00,869.00,880.00,893.00,908.00,929.00,957.00,1000.00,,,0,00,00,0000,00,19000101
109R2G,13,00,.00,.00,2.00,8.00,14.00,21.00,27.00,34.00,41.00,49.00,0,00,00,0000,00,19000101
109R2G,13,01,57.00,65.00,73.00,82.00,92.00,101.00,112.00,122.00,134.00,145.00,0,00,00,0000,00,19000101
109R2G,13,02,151.00,156.00,162.00,168.00,175.00,181.00,187.00,194.00,201.00,208.00,0,00,00,0000,00,19000101
109R2G,13,03,216.00,224.00,232.00,240.00,249.00,258.00,268.00,277.00,288.00,298.00,0,00,00,0000,00,19000101
109R2G,13,04,309.00,321.00,332.00,344.00,357.00,370.00,383.00,396.00,410.00,424.00,0,00,00,0000,00,19000101
109R2G,13,05,438.00,452.00,467.00,482.00,497.00,512.00,528.00,544.00,560.00,576.00,0,00,00,0000,00,19000101
109R2G,13,06,592.00,608.00,624.00,640.00,656.00,672.00,688.00,704.00,720.00,735.00,0,00,00,0000,00,19000101
109R2G,13,07,750.00,765.00,779.00,793.00,806.00,818.00,829.00,839.00,849.00,859.00,0,00,00,0000,00,19000101
109R2G,13,08,869.00,880.00,893.00,908.00,929.00,957.00,1000.00,,,,0,00,00,0000,00,19000101
109R2G,14,00,.00,.00,2.00,8.00,14.00,21.00,28.00,35.00,43.00,50.00,0,00,00,0000,00,19000101
109R2G,14,01,59.00,67.00,76.00,85.00,95.00,105.00,116.00,127.00,139.00,151.00,0,00,00,0000,00,19000101
109R2G,14,02,156.00,162.00,168.00,175.00,181.00,187.00,194.00,201.00,208.00,216.00,0,00,00,0000,00,19000101
109R2G,14,03,224.00,232.00,240.00,249.00,258.00,268.00,277.00,288.00,298.00,309.00,0,00,00,0000,00,19000101
109R2G,14,04,321.00,332.00,344.00,357.00,370.00,383.00,396.00,410.00,424.00,438.00,0,00,00,0000,00,19000101
109R2G,14,05,452.00,467.00,482.00,497.00,512.00,528.00,544.00,560.00,576.00,592.00,0,00,00,0000,00,19000101
109R2G,14,06,608.00,624.00,640.00,656.00,672.00,688.00,704.00,720.00,735.00,750.00,0,00,00,0000,00,19000101
109R2G,14,07,765.00,779.00,793.00,806.00,818.00,829.00,839.00,849.00,859.00,869.00,0,00,00,0000,00,19000101
109R2G,14,08,880.00,893.00,908.00,929.00,957.00,1000.00,,,,,0,00,00,0000,00,19000101
109R2G,15,00,.00,.00,2.00,8.00,15.00,22.00,29.00,36.00,44.00,52.00,0,00,00,0000,00,19000101
109R2G,15,01,61.00,69.00,79.00,88.00,99.00,109.00,120.00,132.00,144.00,156.00,0,00,00,0000,00,19000101
109R2G,15,02,162.00,168.00,175.00,181.00,187.00,194.00,201.00,208.00,216.00,224.00,0,00,00,0000,00,19000101
109R2G,15,03,232.00,240.00,249.00,258.00,268.00,277.00,288.00,298.00,309.00,321.00,0,00,00,0000,00,19000101
109R2G,15,04,332.00,344.00,357.00,370.00,383.00,396.00,410.00,424.00,438.00,452.00,0,00,00,0000,00,19000101
109R2G,15,05,467.00,482.00,497.00,512.00,528.00,544.00,560.00,576.00,592.00,608.00,0,00,00,0000,00,19000101
109R2G,15,06,624.00,640.00,656.00,672.00,688.00,704.00,720.00,735.00,750.00,765.00,0,00,00,0000,00,19000101
109R2G,15,07,779.00,793.00,806.00,818.00,829.00,839.00,849.00,859.00,869.00,880.00,0,00,00,0000,00,19000101
109R2G,15,08,893.00,908.00,929.00,957.00,1000.00,,,,,,0,00,00,0000,00,19000101
109R2G,16,00,.00,.00,2.00,8.00,15.00,22.00,30.00,38.00,46.00,54.00,0,00,00,0000,00,19000101
109R2G,16,01,63.00,72.00,82.00,92.00,102.00,113.00,125.00,137.00,149.00,162.00,0,00,00,0000,00,19000101
109R2G,16,02,168.00,175.00,181.00,187.00,194.00,201.00,208.00,216.00,224.00,232.00,0,00,00,0000,00,19000101
109R2G,16,03,240.00,249.00,258.00,268.00,277.00,288.00,298.00,309.00,321.00,332.00,0,00,00,0000,00,19000101
109R2G,16,04,344.00,357.00,370.00,383.00,396.00,410.00,424.00,438.00,452.00,467.00,0,00,00,0000,00,19000101
109R2G,16,05,482.00,497.00,512.00,528.00,544.00,560.00,576.00,592.00,608.00,624.00,0,00,00,0000,00,19000101
109R2G,16,06,640.00,656.00,672.00,688.00,704.00,720.00,735.00,750.00,765.00,779.00,0,00,00,0000,00,19000101
109R2G,16,07,793.00,806.00,818.00,829.00,839.00,849.00,859.00,869.00,880.00,893.00,0,00,00,0000,00,19000101
109R2G,16,08,908.00,929.00,957.00,1000.00,,,,,,,0,00,00,0000,00,19000101
109R2G,17,00,.00,.00,2.00,9.00,16.00,23.00,31.00,39.00,47.00,56.00,0,00,00,0000,00,19000101
109R2G,17,01,65.00,75.00,85.00,95.00,106.00,118.00,130.00,142.00,155.00,168.00,0,00,00,0000,00,19000101
109R2G,17,02,175.00,181.00,187.00,194.00,201.00,208.00,216.00,224.00,232.00,240.00,0,00,00,0000,00,19000101
109R2G,17,03,249.00,258.00,268.00,277.00,288.00,298.00,309.00,321.00,332.00,344.00,0,00,00,0000,00,19000101
109R2G,17,04,357.00,370.00,383.00,396.00,410.00,424.00,438.00,452.00,467.00,482.00,0,00,00,0000,00,19000101
109R2G,17,05,497.00,512.00,528.00,544.00,560.00,576.00,592.00,608.00,624.00,640.00,0,00,00,0000,00,19000101
109R2G,17,06,656.00,672.00,688.00,704.00,720.00,735.00,750.00,765.00,779.00,793.00,0,00,00,0000,00,19000101
109R2G,17,07,806.00,818.00,829.00,839.00,849.00,859.00,869.00,880.00,893.00,908.00,0,00,00,0000,00,19000101
109R2G,17,08,929.00,957.00,1000.00,,,,,,,,0,00,00,0000,00,19000101
109R2G,18,00,.00,.00,2.00,9.00,17.00,24.00,32.00,41.00,49.00,58.00,0,00,00,0000,00,19000101
109R2G,18,01,68.00,78.00,88.00,99.00,111.00,122.00,135.00,147.00,161.00,175.00,0,00,00,0000,00,19000101
109R2G,18,02,181.00,187.00,194.00,201.00,208.00,216.00,224.00,232.00,240.00,249.00,0,00,00,0000,00,19000101
109R2G,18,03,258.00,268.00,277.00,288.00,298.00,309.00,321.00,332.00,344.00,357.00,0,00,00,0000,00,19000101
109R2G,18,04,370.00,383.00,396.00,410.00,424.00,438.00,452.00,467.00,482.00,497.00,0,00,00,0000,00,19000101
109R2G,18,05,512.00,528.00,544.00,560.00,576.00,592.00,608.00,624.00,640.00,656.00,0,00,00,0000,00,19000101
109R2G,18,06,672.00,688.00,704.00,720.00,735.00,750.00,765.00,779.00,793.00,806.00,0,00,00,0000,00,19000101
109R2G,18,07,818.00,829.00,839.00,849.00,859.00,869.00,880.00,893.00,908.00,929.00,0,00,00,0000,00,19000101
109R2G,18,08,957.00,1000.00,,,,,,,,,0,00,00,0000,00,19000101
109R2G,19,00,.00,.00,3.00,10.00,18.00,25.00,34.00,42.00,51.00,61.00,0,00,00,0000,00,19000101
109R2G,19,01,71.00,81.00,92.00,103.00,115.00,127.00,140.00,153.00,167.00,181.00,0,00,00,0000,00,19000101
109R2G,19,02,187.00,194.00,201.00,208.00,216.00,224.00,232.00,240.00,249.00,258.00,0,00,00,0000,00,19000101
109R2G,19,03,268.00,277.00,288.00,298.00,309.00,321.00,332.00,344.00,357.00,370.00,0,00,00,0000,00,19000101
109R2G,19,04,383.00,396.00,410.00,424.00,438.00,452.00,467.00,482.00,497.00,512.00,0,00,00,0000,00,19000101
109R2G,19,05,528.00,544.00,560.00,576.00,592.00,608.00,624.00,640.00,656.00,672.00,0,00,00,0000,00,19000101
109R2G,19,06,688.00,704.00,720.00,735.00,750.00,765.00,779.00,793.00,806.00,818.00,0,00,00,0000,00,19000101
109R2G,19,07,829.00,839.00,849.00,859.00,869.00,880.00,893.00,908.00,929.00,957.00,0,00,00,0000,00,19000101
109R2G,19,08,1000.00,,,,,,,,,,0,00,00,0000,00,19000101
109R2G,20,00,.00,.00,3.00,11.00,18.00,27.00,35.00,44.00,54.00,64.00,0,00,00,0000,00,19000101
109R2G,20,01,74.00,85.00,96.00,107.00,120.00,132.00,145.00,159.00,173.00,187.00,0,00,00,0000,00,19000101
109R2G,20,02,194.00,201.00,208.00,216.00,224.00,232.00,240.00,249.00,258.00,268.00,0,00,00,0000,00,19000101
109R2G,20,03,277.00,288.00,298.00,309.00,321.00,332.00,344.00,357.00,370.00,383.00,0,00,00,0000,00,19000101
