PLAN,AGE,CNTL,CV0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
103PFN,04,03,98.09,104.32,110.78,117.48,124.44,131.67,139.18,146.98,155.06,163.45,F,NS,00,0000,00,19000101
103PFN,04,04,172.12,181.08,190.33,199.85,209.65,219.72,230.06,240.66,251.51,262.60,F,NS,00,0000,00,19000101
103PFN,04,05,273.95,285.55,297.38,309.44,321.73,334.28,347.11,360.21,373.57,387.22,F,NS,00,0000,00,19000101
103PFN,04,06,401.15,415.36,429.83,444.55,459.51,474.70,490.10,505.67,521.36,537.19,F,NS,00,0000,00,19000101
103PFN,04,07,553.13,569.16,585.26,601.43,617.64,633.90,650.20,666.19,681.79,697.15,F,NS,00,0000,00,19000101
103PFN,04,08,712.26,727.04,741.88,756.12,769.85,783.13,796.43,811.13,826.71,842.82,F,NS,00,0000,00,19000101
103PFN,04,09,859.54,877.13,897.08,921.37,954.44,,,,,,F,NS,00,0000,00,19000101
103PFN,05,00,.00,.00,.00,.00,.00,.52,3.02,5.59,8.25,11.01,F,NS,00,0000,00,19000101
103PFN,05,01,13.89,16.84,19.90,23.09,26.40,29.86,33.47,37.22,41.14,45.23,F,NS,00,0000,00,19000101
103PFN,05,02,49.49,53.93,58.53,63.32,68.30,73.49,78.88,84.48,90.30,96.33,F,NS,00,0000,00,19000101
103PFN,05,03,102.57,109.05,115.76,122.73,129.98,137.50,145.31,153.42,161.82,170.50,F,NS,00,0000,00,19000101
103PFN,05,04,179.48,188.75,198.29,208.11,218.20,228.56,239.18,250.05,261.17,272.54,F,NS,00,0000,00,19000101
103PFN,05,05,284.16,296.01,308.09,320.41,332.99,345.84,358.96,372.35,386.02,399.98,F,NS,00,0000,00,19000101
103PFN,05,06,414.22,428.72,443.47,458.46,473.68,489.11,504.70,520.43,536.29,552.26,F,NS,00,0000,00,19000101
103PFN,05,07,568.32,584.45,600.65,616.89,633.19,649.52,665.54,681.17,696.56,711.70,F,NS,00,0000,00,19000101
103PFN,05,08,726.51,741.38,755.64,769.40,782.71,796.03,810.76,826.37,842.52,859.26,F,NS,00,0000,00,19000101
103PFN,05,09,876.89,896.88,921.22,954.35,,,,,,,F,NS,00,0000,00,19000101
103PFN,06,00,.00,.00,.00,.00,.00,.97,3.55,6.22,8.98,11.86,F,NS,00,0000,00,19000101
103PFN,06,01,14.82,17.89,21.09,24.40,27.87,31.49,35.25,39.18,43.27,47.54,F,NS,00,0000,00,19000101
103PFN,06,02,51.99,56.59,61.40,66.39,71.59,76.99,82.60,88.43,94.48,100.73,F,NS,00,0000,00,19000101
103PFN,06,03,107.22,113.94,120.94,128.20,135.74,143.56,151.68,160.10,168.80,177.80,F,NS,00,0000,00,19000101
103PFN,06,04,187.08,196.65,206.48,216.60,226.98,237.62,248.51,259.65,271.04,282.69,F,NS,00,0000,00,19000101
103PFN,06,05,294.56,306.67,319.02,331.62,344.50,357.65,371.06,384.77,398.75,413.02,F,NS,00,0000,00,19000101
103PFN,06,06,427.54,442.33,457.35,472.60,488.06,503.69,519.45,535.34,551.34,567.43,F,NS,00,0000,00,19000101
