PLAN,AGE,CNTL,TV0,TV1,TV2,TV3,TV4,TV5,TV6,TV7,TV8,TV9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
10057,00,00,,,.00,,,,,,,,0,00,00,0000,00,19000101
9057G,00,00,,.00,,.00,.00,,.00,,,,0,00,00,0000,00,19000101
9057G,00,03,,,,,,,,,.00,,0,00,00,0000,00,19000101
1010,00,00,1.00,,,,,,,,,,0,00,00,0000,00,19000101
10101G,25,00,.00,,,,,,,,,,0,00,00,0000,00,19000101
103PFN,00,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,09,.00,.00,.00,.00,.00,.00,.00,.00,.00,,F,NS,00,0000,00,19000101
103PFN,01,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,09,.00,.00,.00,.00,.00,.00,.00,.00,,,F,NS,00,0000,00,19000101
103PFN,02,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,02,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,02,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,02,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,02,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,02,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,02,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,02,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,02,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,02,09,.00,.00,.00,.00,.00,.00,.00,,,,F,NS,00,0000,00,19000101
103PFN,03,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,03,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,03,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,03,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,03,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,03,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,03,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,03,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,03,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,03,09,.00,.00,.00,.00,.00,.00,,,,,F,NS,00,0000,00,19000101
103PFN,04,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,04,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,04,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,04,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,04,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,04,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,04,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,04,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,04,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,04,09,.00,.00,.00,.00,.00,,,,,,F,NS,00,0000,00,19000101
103PFN,05,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,05,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,05,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,05,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,05,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,05,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,05,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,05,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,05,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,05,09,.00,.00,.00,.00,,,,,,,F,NS,00,0000,00,19000101
103PFN,06,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,06,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,06,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,06,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,06,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,06,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,06,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,06,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,06,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,06,09,.00,.00,.00,,,,,,,,F,NS,00,0000,00,19000101
103PFN,07,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,07,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,07,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,07,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,07,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,07,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,07,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,07,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,07,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,07,09,.00,.00,,,,,,,,,F,NS,00,0000,00,19000101
103PFN,08,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,08,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,08,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,08,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,08,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,08,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,08,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,08,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,08,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,08,09,.00,,,,,,,,,,F,NS,00,0000,00,19000101
103PFN,09,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,09,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,09,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,09,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,09,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,09,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,09,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,09,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,09,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,10,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,10,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,10,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,10,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,10,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,10,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,10,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,10,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,10,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,,F,NS,00,0000,00,19000101
103PFN,11,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,11,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,11,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,11,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,11,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,11,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,11,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,11,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,11,08,.00,.00,.00,.00,.00,.00,.00,.00,,,F,NS,00,0000,00,19000101
103PFN,12,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,12,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,12,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,12,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,12,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,12,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,12,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,12,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,12,08,.00,.00,.00,.00,.00,.00,.00,,,,F,NS,00,0000,00,19000101
103PFN,13,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,13,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,13,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,13,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,13,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,13,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,13,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,13,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,13,08,.00,.00,.00,.00,.00,.00,,,,,F,NS,00,0000,00,19000101
103PFN,14,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,14,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,14,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,14,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,14,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,14,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,14,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,14,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,14,08,.00,.00,.00,.00,.00,,,,,,F,NS,00,0000,00,19000101
103PFN,15,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,15,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,15,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,15,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,15,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,15,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,15,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,15,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,15,08,.00,.00,.00,.00,,,,,,,F,NS,00,0000,00,19000101
103PFN,16,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,16,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,16,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,16,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,16,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,16,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,16,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,16,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,16,08,.00,.00,.00,,,,,,,,F,NS,00,0000,00,19000101
103PFN,17,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,17,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,17,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,17,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,17,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,17,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,17,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,17,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,17,08,.00,.00,,,,,,,,,F,NS,00,0000,00,19000101
103PFN,18,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,18,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,18,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,18,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,18,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,18,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,18,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,18,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,18,08,.00,,,,,,,,,,F,NS,00,0000,00,19000101
103PFN,19,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,19,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,19,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,19,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,19,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,19,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,19,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,19,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,20,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,20,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,20,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,20,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,20,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,20,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,20,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,20,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,,F,NS,00,0000,00,19000101
103PFN,21,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,21,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,21,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,21,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,21,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,21,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,21,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,21,07,.00,.00,.00,.00,.00,.00,.00,.00,,,F,NS,00,0000,00,19000101
103PFN,22,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,22,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,22,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,22,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,22,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,22,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,22,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,22,07,.00,.00,.00,.00,.00,.00,.00,,,,F,NS,00,0000,00,19000101
103PFN,23,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,23,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,23,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,23,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,23,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,23,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,23,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,23,07,.00,.00,.00,.00,.00,.00,,,,,F,NS,00,0000,00,19000101
103PFN,24,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,24,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,24,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,24,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,24,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,24,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,24,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,24,07,.00,.00,.00,.00,.00,,,,,,F,NS,00,0000,00,19000101
103PFN,25,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,25,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,25,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,25,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,25,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,25,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,25,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,25,07,.00,.00,.00,.00,,,,,,,F,NS,00,0000,00,19000101
103PFN,26,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,26,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,26,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,26,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,26,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,26,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,26,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,26,07,.00,.00,.00,,,,,,,,F,NS,00,0000,00,19000101
103PFN,27,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,27,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,27,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,27,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,27,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,27,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,27,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,27,07,.00,.00,,,,,,,,,F,NS,00,0000,00,19000101
103PFN,28,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,28,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
