PLAN,ISSCNTRY,CNTRYTXT,ISSUEST,STATETXT,MLOANINT,MLOANINTX
10Q2MN,0000,ALL (OTHER),00,ALL (OTHER),,
10Q2MS,0000,ALL (OTHER),00,ALL (OTHER),,
10Q3FN,0000,ALL (OTHER),00,ALL (OTHER),,
10Q3FS,0000,ALL (OTHER),00,ALL (OTHER),,
10Q3MN,0000,ALL (OTHER),00,ALL (OTHER),,
10Q3MS,0000,ALL (OTHER),00,ALL (OTHER),,
10QLFN,0000,ALL (OTHER),00,ALL (OTHER),,
10QLFS,0000,ALL (OTHER),00,ALL (OTHER),,
10QLMN,0000,ALL (OTHER),00,ALL (OTHER),,
10QLMS,0000,ALL (OTHER),00,ALL (OTHER),,
10R28,0000,ALL (OTHER),00,ALL (OTHER),,
10R28A,0000,ALL (OTHER),00,ALL (OTHER),,
10R28G,0000,ALL (OTHER),00,ALL (OTHER),,
10R29G,0000,ALL (OTHER),00,ALL (OTHER),,
10R68,0000,ALL (OTHER),00,ALL (OTHER),,
10R68G,0000,ALL (OTHER),00,ALL (OTHER),,
10R69G,0000,ALL (OTHER),00,ALL (OTHER),,
10RW18,0000,ALL (OTHER),00,ALL (OTHER),,
10RW28,0000,ALL (OTHER),00,ALL (OTHER),,
10RW8,0000,ALL (OTHER),00,ALL (OTHER),,
10RW8A,0000,ALL (OTHER),00,ALL (OTHER),,
10RW8G,0000,ALL (OTHER),00,ALL (OTHER),,
10RW9G,0000,ALL (OTHER),00,ALL (OTHER),,
10S28G,0000,ALL (OTHER),00,ALL (OTHER),,
10SLPW,0000,ALL (OTHER),00,ALL (OTHER),,
10TAFA,0000,ALL (OTHER),00,ALL (OTHER),,
10TAFB,0000,ALL (OTHER),00,ALL (OTHER),,
10TAFC,0000,ALL (OTHER),00,ALL (OTHER),,
10TAFD,0000,ALL (OTHER),00,ALL (OTHER),,
9057G,0000,ALL (OTHER),00,ALL (OTHER),,
