mplan,parent_coverage,seq,segt_id,psetg_types,psetg_found
1669SR,669 SR GD,41,659 SR GD,CV|DB|NP|RV,Y
1669SR,669 SR GD,44,LIFEWCV,L0|L1|L2,Y
1669SR,669 SR GD,48,LIFE,BS|BT|DO,Y
1679CS,679 CEN SD,1,679 CEN SD,BP|CV|NC|UG|UH,Y
1679CS,679 CEN SD,2,679 CEN SD,BP|CV|NC|UG|UH,Y
1679CS,679 CEN SD,3,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1679CS,679 CEN SD,4,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1679CS,679 CEN SD,9,678 CEN SD,BP|CV|NC|NF|RV|U5|U6|UG|UH,Y
1679CS,679 CEN SD,10,678 CEN SD,BP|CV|NC|NF|RV|U5|U6|UG|UH,Y
1679CS,679 CEN SD,19,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1679CS,679 CEN SD,20,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1679CS,679 CEN SD,22,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1679CS,679 CEN SD,25,DEFRA,UL,Y
1679CS,679 CEN SD,27,GA4,CC|CM,Y
1679CS,679 CEN SD,28,BMA658,,N
1679CS,679 CEN SD,29,BMA658,,N
1679CS,679 CEN SD,30,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1679CS,679 CEN SD,31,679 CEN SD,BP|CV|NC|UG|UH,Y
1679CS,679 CEN SD,33,679 CEN SD,BP|CV|NC|UG|UH,Y
1679CS,679 CEN SD,34,IBA01 45,C1|IB,Y
1679CS,679 CEN SD,35,L14,C2|CV|ET|IB|LN|NB|NF|NO|NP|PR|PU|RD|RV|TP|TX,Y
1679CS,679 CEN SD,36,679 CEN SD,BP|CV|NC|UG|UH,Y
1679CS,679 CEN SD,38,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1679CS,679 CEN SD,41,678 CEN SD,BP|CV|NC|NF|RV|U5|U6|UG|UH,Y
1679CS,679 CEN SD,44,LIFEWCV,L0|L1|L2,Y
1679CS,679 CEN SD,48,LIFE,BS|BT|DO,Y
