legacy_old_value,legacy_new_value,in_product_catalog_crosswalk,authoritative_plan,legacy_matches_authoritative,contains_spaces_old,contains_spaces_new,still_used_by_quikridr_path,p3c_status,dependency_type
9018386,018386C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018465C,018465CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018465D,018465DC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018491,018491C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018492,018492C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018495A,018495AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018495B,018495BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018495C,018495CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018499A,018499AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018499B,018499BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018499C,018499CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018499D,018499DC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018509,018509C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018510,018510C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018528,018528C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018529,018529C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018586,018586C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018645A,018645AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018645B,018645BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018645C,018645CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018646,018646C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018712,018712C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018712F,018712FC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018719,018719C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018721,018721C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018737A,018737AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018737B,018737BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018845B,018845BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018845C,018845CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018900,018900C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018907,018907C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018909,018909C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018910,018910C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9018912,018912C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
9019002,019002C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8033B,01FG8033BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8033C,01FG8033CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8217A,01FG8217AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8217B,01FG8217BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8217C,01FG8217CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8217D,01FG8217DC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8302B,01FG8302BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8314B,01FG8314BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8314D,01FG8314DC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8314E,01FG8314EC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8314F,01FG8314FC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8563,01FG8563C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901FG8801,01FG8801C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML4012A,01ML4012AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML4054,01ML4054C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML4096,01ML4096C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML4107,01ML4107C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML4134,01ML4134C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML4140B,01ML4140BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML4140C,01ML4140CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML4150,01ML4150C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8007,01ML8007C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8123,01ML8123C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8143,01ML8143C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8151,01ML8151C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8171,01ML8171C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8195,01ML8195C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8209,01ML8209C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8211,01ML8211C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8214,01ML8214C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
