Row_Type,Overall_Result,Check_Name,Check_Result,What_We_Checked,Records_Reviewed,Looked_Fine,Problems_Found,Problem_Detail,When_It_Ran,Run_ID,Data_Folder,Rules_Executed,Rules_Passed,Rules_Failed,Rules_Not_Run,Rules_Error,Data_Conformance_Accuracy_Percent,Data_Conformance_Accuracy_Display,Validation_Guide_File,Validation_Manifest_File
OVERALL,FAILED — problems were found that need attention,All selected governance checks,FAILED — problems were found that need attention,"Selected QLAdmin governance rules for this run (company, policy, accounting, and group-billing integrity as applicable).",229,102,127,127 problem(s) listed in the rows below.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,1,0,1,0,0,44.541484716157,44.54%,data_governance_validation_guide.md,data_governance_validation_manifest.json
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '130JEB' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '1666AI' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '1SALMI' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '261PUA' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '261PUA' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '265PUA' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '280PUA' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '280PUA' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '560STR' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
